LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
VTZIGT71C2,23,37431,244981,444,68,4,21.2,36,0.87,High School,Full-time,Divorced,Yes,Yes,Home,Yes,0
2L77IRIJGE,43,87138,66433,537,68,3,9.17,24,0.73,High School,Self-employed,Married,No,No,Home,No,0
YZP2CZLTNS,22,40808,38765,644,114,4,18.86,48,0.68,Bachelor's,Self-employed,Single,Yes,Yes,Other,Yes,0
CQ92EPOG78,38,111327,188214,583,77,4,8.55,12,0.43,Master's,Part-time,Married,Yes,No,Auto,No,0
SGZP3N2WRE,46,147661,89635,664,72,3,5.98,12,0.65,Bachelor's,Part-time,Married,No,Yes,Home,No,0
LXSUAZN5KY,60,40191,223553,727,55,2,7.39,48,0.56,PhD,Full-time,Married,Yes,Yes,Auto,No,0
XLDSDCKMJM,69,87168,35761,789,117,1,21.78,60,0.49,High School,Part-time,Single,No,Yes,Auto,Yes,0
7LQ2HLXCNL,39,145994,85349,417,107,3,14.77,36,0.54,PhD,Full-time,Single,No,No,Home,No,0
BT44803RMW,25,85844,121491,502,28,2,3.78,24,0.69,Master's,Full-time,Divorced,Yes,Yes,Business,Yes,0
9BD0CH2NWT,40,89093,137372,532,90,2,8.49,24,0.29,PhD,Unemployed,Divorced,No,Yes,Business,Yes,0
W2S4QW6E38,32,45224,165028,846,17,1,2.28,24,0.25,High School,Self-employed,Married,Yes,No,Business,Yes,0
3QSE9KVDED,59,115662,70029,834,2,3,2.73,24,0.1,High School,Self-employed,Married,Yes,No,Education,No,0
KDEGWO0ZBM,60,83951,31235,305,67,4,3.54,36,0.28,High School,Unemployed,Married,No,No,Auto,Yes,0
T7O8CJC99A,43,77569,231702,380,109,3,2.46,36,0.52,High School,Unemployed,Married,No,Yes,Business,No,0
NGKSXOTTMP,20,127550,62949,507,51,1,24.3,24,0.54,PhD,Unemployed,Single,Yes,Yes,Home,Yes,1
6L5MZ27DVS,67,52723,182428,611,47,4,24.08,48,0.71,PhD,Part-time,Divorced,No,Yes,Home,Yes,0
UUCHT8T6CA,53,91987,212285,640,67,2,5.43,36,0.28,Master's,Part-time,Divorced,Yes,Yes,Home,No,0
TGOL1SZHTZ,26,84772,154179,705,88,2,14.92,60,0.71,High School,Unemployed,Married,Yes,No,Business,No,0
IW3ETQQNXN,19,65813,212354,468,76,2,10.83,12,0.75,Master's,Self-employed,Single,No,No,Other,Yes,1
Q2R33JM69C,54,30317,207653,689,83,2,17.4,12,0.38,Master's,Part-time,Single,Yes,No,Home,Yes,0
C83M3MTOS9,35,25815,204249,307,116,3,5.84,60,0.37,Master's,Self-employed,Single,Yes,Yes,Auto,Yes,0
2H0FZ4B9ZH,45,60785,55339,766,52,1,19.36,60,0.51,Master's,Unemployed,Single,No,Yes,Education,Yes,0
9LXZ6YAEXT,47,89389,235111,412,65,1,10.2,12,0.55,PhD,Self-employed,Single,Yes,Yes,Education,Yes,0
XR6X0XQK7R,25,107340,28760,342,89,1,23.8,24,0.28,Master's,Part-time,Married,Yes,Yes,Other,No,0
MQPU9LG88A,55,93515,91894,687,119,2,2.58,36,0.68,PhD,Part-time,Divorced,No,No,Education,No,0
LWJQ5Y22VM,27,88490,20029,633,38,3,23.97,12,0.59,Bachelor's,Part-time,Single,No,No,Business,Yes,1
542PBMQ8Y0,38,121817,51622,464,81,3,4.69,60,0.7,High School,Part-time,Married,Yes,No,Home,No,0
22MN512WF0,55,18208,69544,540,60,3,2.84,48,0.85,PhD,Full-time,Married,Yes,Yes,Other,No,0
E2LUH7UO9N,22,70982,175650,498,71,1,5.07,60,0.28,Master's,Self-employed,Married,Yes,No,Education,No,0
BOPZ9F9QW3,38,76329,135335,302,57,4,5.43,12,0.86,PhD,Part-time,Divorced,No,Yes,Other,Yes,0
F41QFFN50K,58,60622,207843,312,38,3,5.59,60,0.71,Master's,Self-employed,Married,No,No,Business,No,0
SQVQE87247,32,69884,153476,323,24,2,19.33,36,0.14,Master's,Self-employed,Divorced,No,Yes,Business,No,0
V6M86KGT9I,60,133253,166870,697,8,3,6.8,36,0.18,PhD,Self-employed,Married,Yes,Yes,Auto,Yes,0
7CBCNMKW1L,47,59268,228499,358,19,2,18.45,48,0.76,Bachelor's,Self-employed,Divorced,Yes,No,Education,No,1
H2R33U2XXW,35,141092,199463,577,4,3,2.98,12,0.75,Bachelor's,Self-employed,Married,No,Yes,Auto,No,0
N49VX38UIA,41,100103,99354,422,89,1,17.15,36,0.79,PhD,Full-time,Single,Yes,No,Home,No,0
THSE87WXIP,44,82225,118049,710,39,4,6.74,24,0.45,Bachelor's,Part-time,Married,No,Yes,Business,Yes,0
CZZ6OKGK2Z,39,33977,57803,776,115,2,23.45,24,0.24,PhD,Self-employed,Divorced,Yes,No,Education,Yes,0
D4L8E7TZZM,56,119946,102333,806,67,2,14.4,12,0.4,High School,Full-time,Married,Yes,Yes,Other,No,0
WFELVE50SW,67,121850,131367,478,109,4,12.72,48,0.45,High School,Part-time,Married,No,No,Education,No,0
XJ64L1AYB4,63,63878,245464,361,74,2,22.64,36,0.78,PhD,Full-time,Single,Yes,Yes,Auto,Yes,0
53DY6YR7YX,18,54987,227214,604,34,4,12.12,60,0.82,High School,Full-time,Married,Yes,Yes,Auto,Yes,0
B34O7XAGBW,54,51927,82838,391,68,1,8.19,60,0.45,High School,Full-time,Single,No,Yes,Auto,No,0
8SFZZKZXFG,20,67019,158596,460,9,2,22.11,36,0.54,Bachelor's,Self-employed,Married,No,No,Home,Yes,0
I7YBOJSATF,36,103192,16708,674,52,3,13.02,12,0.54,Bachelor's,Full-time,Married,Yes,No,Home,No,0
